R1 Temperature,R1 Flow,R1 H2/CH4,R2 Temperature,R2 Flow,R2 H2/CH4,Conversion (%),C2 sel.,Aromatics sel.,Aromatics sel. + Coke sel.,Coke sel.,Acetylene/(Ethane+Ethylene) ratio,C2 Yield,Aromatics Yield,Coke yield,Hydrocarbon yield,Total score (b)-1,Total score (b)-2,Total score (b)-3,Total score (b)-4,Total score (b)-5,Total score (b)-6
0.1495,-0.2,0.818181818,-0.84,-0.75,-0.6,3.575125152,89.92801256,8.132352245,8.132352245,0,0.4018239,3.215038996,0.290741771,0,3.505780766,0,0,0,0,0,0
0.1495,-0.2,0.818181818,-0.76,-0.75,-0.6,5.007710147,88.45431385,9.4505247,9.4505247,0,0.433389095,4.42953565,0.473254884,0,4.902790534,0,0,0,0,0,0
0.4505,0.6,0.818181818,-0.52,-0.416666667,-0.6,5.552542569,84.88802266,7.571933571,7.571933571,0,0.099803539,4.713443594,0.420434835,0,5.133878429,0,0,0,0,0,0
0.4505,0.6,0.818181818,-0.04,0.583333333,0.6,5.535636358,95.49140265,2.952681237,2.952681237,0,0.752432411,5.286056804,0.163449696,0,5.4495065,0,0,0,0,0,0
-0.599,-0.6,-1,-0.2,-0.25,0.6,6.045346177,72.48172393,21.38916423,26.23051352,4.841349287,0.49017569,4.381771127,1.293049022,0.292676324,5.674820149,0,0,0,0,0,0
-0.3505,-0.2,-1,-0.2,0.583333333,0.6,5.823359119,59.84433815,39.7054628,39.7054628,0,0.744956534,3.484950723,2.312191689,0,5.797142412,0,0,0,0,0,0
0.1495,-0.2,0.818181818,-0.68,-0.75,-0.6,6.241569047,86.21965204,11.50973934,11.50973934,0,0.481573347,5.381459114,0.718388328,0,6.099847442,0,0,0,0,0,0
-0.599,-0.6,-1,-0.12,-0.25,0.6,6.832477176,71.38413945,18.98498781,27.21443687,8.229449065,0.525312162,4.877305035,1.297144959,0.562275229,6.174449994,0,0,0,0,0,0
0.4505,0.6,0.818181818,0.04,0.583333333,0.6,6.292831673,94.87403868,3.263551623,3.263551623,0,0.826785071,5.970263556,0.20536981,0,6.175633366,0,0,0,0,0,0
0.4505,0.6,0.818181818,-0.44,-0.416666667,-0.6,6.945969705,82.16113648,10.33339016,10.33339016,0,0.166779745,5.706887649,0.71775415,0,6.424641799,0,0,0,0,0,0
-0.3505,-0.2,-1,-0.12,0.583333333,0.6,6.495903472,68.09349435,30.9591815,30.9591815,0,0.777009364,4.423287664,2.011078546,0,6.43436621,0,0,0,0,0,0
0.1495,-0.2,0.818181818,-0.2,-0.25,0.6,6.558814226,92.97982679,5.215951265,5.215951265,0,0.524875639,6.098374107,0.342104554,0,6.44047866,0,0,0,0,0,0
-0.599,-0.6,-1,-0.2,-0.416666667,0.2,6.802222518,75.46567755,20.23030616,22.57396427,2.343658114,0.436101293,5.133343312,1.376110441,0.15942084,6.509453752,0,0,0,0,0,0
-0.3505,-0.2,-1,-0.2,0.25,0.2,6.865870225,69.38790062,25.52805734,29.42358526,3.895527923,0.635176338,4.764083208,1.752723288,0.267461892,6.516806496,0,0,0,0,0,0
0.4505,0.6,0.818181818,-0.2,0.25,0.2,6.8638466,93.60220267,4.582243043,4.582243043,0,0.702292444,6.424711605,0.314518133,0,6.739229739,0,0,0,0,0,0
-0.3505,-0.2,-1,-0.04,0.583333333,0.6,7.230433105,67.91868431,27.98396979,31.03584049,3.051870696,0.853384618,4.910815035,2.023362216,0.220663469,6.934177251,0,0,0,0,0,0
-0.599,-0.6,-1,-0.04,-0.25,0.6,7.20030858,78.09311632,18.38091864,20.60867132,2.227752681,0.587366119,5.622945355,1.323482862,0.160405067,6.946428217,0,0,0,0,0,0
0.1495,-0.2,0.818181818,-0.12,-0.25,0.6,7.12371935,92.97698336,5.054299894,5.054299894,0,0.572684361,6.623419355,0.36005414,0,6.983473494,0,0,0,0,0,0
-0.3505,-0.2,-1,-0.12,0.25,0.2,7.374096043,70.85606597,23.92197991,27.78578287,3.863802964,0.690816818,5.224994357,1.764029774,0.284920541,6.989024131,0,0,0,0,0,0
-0.599,-0.6,-1,-0.12,-0.416666667,0.2,7.894133416,72.48685322,16.65914707,25.78129121,9.122144137,0.475596591,5.722208902,1.315095296,0.720114229,7.037304198,0,0,0,0,0,0
-0.3505,-0.2,-1,-0.2,-0.083333333,-0.2,7.620380463,74.92742511,19.02258421,23.35078537,4.328201163,0.689400579,5.709754865,1.44959329,0.329825396,7.159348155,0,0,0,0,0,0
-0.3505,-0.2,-1,-0.12,-0.083333333,-0.2,7.642051628,78.3090533,17.362411,19.85245537,2.490044368,0.730760747,5.984418283,1.326844413,0.190290476,7.311262695,0,0,0,0,0,0
0.4505,0.6,0.818181818,-0.12,0.25,0.2,7.473079599,93.66051663,4.583590928,4.583590928,0,0.769327763,6.999324961,0.342535399,0,7.341860359,0,0,0,0,0,0
0.4505,0.6,0.818181818,0.12,0.583333333,0.6,7.466199583,95.07939434,3.41123951,3.41123951,0,0.904520419,7.098817344,0.25468995,0,7.353507294,0,0,0,0,0,0
0.4505,0.6,0.818181818,-0.2,-0.083333333,-0.2,7.600876931,91.50409063,6.230377104,6.230377104,0,0.751480365,6.955113316,0.473563296,0,7.428676612,0,0,0,0,0,0
-0.3505,-0.2,-1,0.04,0.583333333,0.6,7.548323676,72.61366457,26.22904236,26.22904236,0,0.88410082,5.481114435,1.979853014,0,7.460967449,0,0,0,0,0,0
-0.2,-0.2,-1,-0.2,0.25,0.2,9.310921225,56.08567019,24.55532361,43.68240126,19.12707765,0.728240296,5.22209257,2.286326838,1.780907133,7.508419408,0,0,0,0,0,0
-0.3505,-0.2,-1,-0.04,0.25,0.2,8.145393227,71.13898548,21.55454954,27.54387062,5.98932108,0.754538072,5.794550105,1.755702818,0.487853754,7.550252923,0,0,0,0,0,0
0.1495,-0.2,0.818181818,-0.2,-0.416666667,0.2,7.741369051,92.52127585,5.725533714,5.725533714,0,0.520311098,7.162413414,0.443234695,0,7.605648109,0,0,0,0,0,0
-0.599,-0.6,-1,-0.68,-0.75,-0.6,10.53352296,41.96337584,30.24358894,57.8011436,27.55755466,0.335183242,4.420221829,3.185715385,2.902781347,7.605937214,0,0,0,0,0,0
0.4505,0.6,0.818181818,-0.36,-0.416666667,-0.6,9.049893814,72.85498438,11.78862293,20.15505555,8.366432624,0.22296385,6.593298725,1.066857857,0.757153268,7.660156582,0,0,0,0,0,0
